status;category;severity_priority;severity_name;severity_effect;begin_date;end_date;duration;cause;line;station
active;Incidents;0;bloquante;NO_SERVICE;20220711T220000;20220712T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220711T220000;20220712T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220628T220000;20220705T202504;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220628T220000;20220705T202504;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220712T220000;20220713T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220712T220000;20220713T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220719T220000;20220720T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220719T220000;20220720T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220629T220000;20220705T202504;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220629T220000;20220705T202504;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220718T220000;20220719T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220718T220000;20220719T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220627T220000;20220705T202504;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220627T220000;20220705T202504;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220704T220000;20220705T202504;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220704T220000;20220705T202504;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220720T220000;20220721T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220720T220000;20220721T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220713T220000;20220714T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220713T220000;20220714T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220724T220000;20220725T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220724T220000;20220725T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220717T220000;20220718T041500;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220717T220000;20220718T041500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220703T220000;20220705T202504;0;travaux;14;Olympiades
active;Incidents;0;bloquante;NO_SERVICE;20220703T220000;20220705T202504;0;travaux;14;Mairie de Saint-Ouen
future;Incidents;0;bloquante;NO_SERVICE;20220731T120000;20220821T034500;0;travaux;14;Olympiades
future;Incidents;0;bloquante;NO_SERVICE;20220731T120000;20220821T034500;0;travaux;14;Mairie de Saint-Ouen
active;Incidents;0;bloquante;NO_SERVICE;20220718T103849;20220719T035551;0;perturbation;1;Château de Vincennes
active;Incidents;0;bloquante;NO_SERVICE;20220718T103849;20220719T035551;0;perturbation;1;La Défense (Grande Arche)
active;Incidents;0;bloquante;NO_SERVICE;20220718T234656;20220719T035557;0;perturbation;3;Pont de Levallois
active;Incidents;0;bloquante;NO_SERVICE;20220718T234656;20220719T035557;0;perturbation;3;Bécon
active;Incidents;0;bloquante;NO_SERVICE;20220718T234656;20220719T035557;0;perturbation;3;Gallieni
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220704T040000;20221015T041500;0;travaux;2;Porte Dauphine
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220704T040000;20221015T041500;0;travaux;2;Nation
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220713T040000;20220714T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220713T040000;20220714T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220720T040000;20220721T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220720T040000;20220721T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220628T040000;20220705T202504;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220628T040000;20220705T202504;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220718T040000;20220719T034500;0;travaux;11;Châtelet
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220718T040000;20220719T034500;0;travaux;11;Mairie des Lilas
active;Incidents;30;perturbée;SIGNIFICANT_DELAYS;20220715T040000;20220716T034500;0;travaux;11;Châtelet
